Object Name,Form ID,Editor ID,Category
A Fighting Chance,0002C170,ICMarketDistrictAFightingChance,CELL
A Fighting Chance Basement,00049AF0,ICMarketDistrictAFightingChanceBasement,CELL
A Fighting Chance Private Quarters,00049AEF,ICMarketDistrictAFightingChanceUpstairs,CELL
A Warlock's Luck,0002FF53,BravilaWarlockluck,CELL
Abaelun Mine,01480052,AbaelunSMine,CELL
Abaesen-Pulu Egg Mine,01480053,AbaesenTPuluSEggSMine,CELL
Abanabi,01480054,Abanabi,CELL
Abandoned Basement,000353E3,CheydinhalAbandonedHouseBasement,CELL
Abandoned House,000308BF,AnvilAbandonedHouse,CELL
Abandoned House,0003041C,CheydinhalAbandonedHouse,CELL
Abandoned Mine,00015C3D,AbandonedMine,CELL
Abandoned Mine Caverns,000338A2,AbandonedMine02,CELL
Abandoned Shack,000477C9,ICWaterfrontAbandonedShack,CELL
"Abandoned Shipwreck, Cabin",01480055,AbandonedSShipwreckVSCabin,CELL
"Abandoned Shipwreck, Lower Level",01480056,AbandonedSShipwreckVSLowerSLevel,CELL
"Abandoned Shipwreck, Upper Level",01480057,AbandonedSShipwreckVSUpperSLevel,CELL
Abebaal Egg Mine,01480058,AbebaalSEggSMine,CELL
Abernanit,01480059,Abernanit,CELL
Abinabi,0148005A,Abinabi,CELL
Activator Testing Warehouse,00025581,WarehouseActivator,CELL
Adanumuran,0148005B,Adanumuran,CELL
"Addadshashanammu, Shrine",0148005C,AddadshashanammuVSShrine,CELL
Addamasartus,0148005D,Addamasartus,CELL
Adrian Decanius' Basement,0003EF2C,ICElvenGardensAdrianDecaniusHouseBasement,CELL
Adrian Decanius' House,0002C1C1,ICElvenGardensAdrianDecaniusHouse,CELL
Adrian Decanius' Private Quarters,0003EF2D,ICElvenGardensAdrianDecaniusHouseUpstairs,CELL
Aengvir's House,00031564,HarlunsWatchAengvirsHouse,CELL
Agarmir's Basement,0001CEE3,ICTalosPlazaAgarmirsHouseBasement,CELL
